Entity,Whilte_list
"Intel-GE Care Innovations , LLC",X
Broadcom,O
Political McKenna College,X
Google TV,O
Hittite,X
"Tongfu Fujitsu Microelectronics Co., Ltd",O
Seiko Epson Corporation,O
VMware Horizon View,X
Microsemi Power Systems Inc,X
VIA,X
Amazon.com Inc,O
ESEs,X
United Technologies Corp,O
Qualcomm CDMA Technologies,O
Motorola Semiconductors Europe,O
Continental,X
RDEC,X
"New , Aerospace & Defense and Communications",X
Malaysian,X
"Huawei Technologies Co. , Ltd",X
U.S.GAAP,X
UK  Limited,X
MCG,X
CUDA,X
"Catalyst , Inc",X
Non-Portable,X
Spectra Linear,O
Semtech,X
Corporate Analysis & Strategy of SCI LLC,X
Samsung Hai Precision Industry Co,X
ON Solutions Group,X
GuangDong OPPO Mobile Telecommunications Corp. Ltd,O
Hyundai Electronics,O
European Silicon Structures,O
Discovery,X
Applied Micro Circuits Corporation,O
SSG,X
Intel Foundation,O
Apex,X
Littlefuse Semiconductor Corporation,X
Quadro,O
"Manufacturing , Operations and Sales",X
ASUSTeK Computer Inc,O
Communications Holdings Inc,O
Engineering Electronics Institute,X
HPC & Cloud,X
SONET,O
Tianjin,X
New,X
Mubadala Technology Investment Company LLC,X
Amkor Technology Inc,O
Worchester Polytechnic Institute,X
Stanford,X
NXP,O
Manufacturing,X
Novellus Systems Inc,O
IPRD,X
"PMC-Sierra, Inc",O
"Khronos Group , Inc",X
Integrated Device Technologies,O
Panasonic & Industrial Systems Company,X
SAM,X
European Innovation Development,X
Microsemi,X
Solaris,X
Microchip,O
"Bachelor University of California , Berkeley",X
QCT Segment,O
SDSoC,X
Dialog Semiconductors N.V,X
System Solution Group,O
Spartan,X
Gate,X
Global System,O
Azure,X
LCM,X
Advanced Coast Hitech L.P,X
AMD ZeroCore Power,X
Electronic,X
GreenPeak Technologies,O
Barclays,X
Applied,X
Silicon Laboratories Inc,O
RF360 Holdings,O
NXP Semiconductors N.V,O
A-Series,X
"AMIS Holdings, Inc",O
Imagination,X
NSG,O
"Microchip Technology , Inc",X
Black-Scholes,X
"Brocade Communication Systems , Inc",X
King Precision Industries Company Ltd,X
Long Term Evolution,X
